Thread-1::Middle Reading 
Thread-0::Source reading file...

Thread-2::Sink Reading
"               Time Stamp,          Velocity,          Altitude,       Temperature,          Pressure,          Attitude"
" 2014 01 14::10:47:46:516, 28.00291287832335,  552.742552125085, -170.73364084268783, 50.544872474236335, 0.863775639517983"
" 2014 01 14::10:47:47:016, 29.107021002700794, 3813.7049416968384, -166.2084326407425, -6268.918430416697, 1.1108447429148183"
" 2014 01 14::10:47:47:517, 44.37681608277655, 4213.670556876181, -165.01763961218444, 51.08062863651508, 1.2300466169528734"
" 2014 01 14::10:47:48:017, 51.96678322870507, 4228.317842725826, -156.60250966481425, 52.29952102748903, 1.379937117929786"
" 2014 01 14::10:47:48:517, 70.11704258442796, 4650.1185358139965, -154.65986192722778, 53.677048442960505, 1.6161333687771284"
" 2014 01 14::10:47:49:018, 70.47201692592175, 8758.945136024122, -154.2505280950171, 53.70058162694424, 1.9208387370394098"
" 2014 01 14::10:47:49:518, 71.10479811893322,  8945.93708335284, -151.54544511316448,  55.2584423058422, 2.0467664025930365"
" 2014 01 14::10:47:50:018,  75.5883309776676, 10991.015370571255, -150.41126153690576, 55.27449509537541, 2.4040168629162806"
" 2014 01 14::10:47:50:519, 117.94616688200854, 13188.264726697918, -141.1606988038552, 55.51911015773348, 3.2017963230993707"
" 2014 01 14::10:47:51:020,  134.925302561853, 13266.375639469952, -129.62264705728813, 55.65648113791455,  3.31855211726666"
" 2014 01 14::10:47:51:520, 149.82345294899625, 13866.609385884454, -129.04808409535698, 55.71640793740173, 3.5353925154455013"
" 2014 01 14::10:47:52:020,  151.287128296799, 13888.623878729179, -128.8601220698729, 56.35754881427979, 4.1081917005766355"
" 2014 01 14::10:47:52:521, 166.16773655545302, 14448.251729347594, -124.49168106938023, 6936.381632405626, 4.259416575732933"
" 2014 01 14::10:47:53:021, 192.0337969959376, 15797.556207540698, -123.51991952194822, 56.492982764460024, 4.463585321447305"
" 2014 01 14::10:47:53:521, 244.25847883337903, 19781.803899691742, -123.06325978416487, 57.16390480219879,  4.49894045491428"
" 2014 01 14::10:47:54:021, 248.33180801350562, 25607.58483461342, -115.32577402903021, 57.36651891418254, 4.818544219773468"
" 2014 01 14::10:47:54:522, 285.92510498778836, 28377.706559863447, -112.9185101729365, 57.84792163194719, 4.963142039388025"
" 2014 01 14::10:47:55:022, 297.2727878115977, 29048.049234401184, -99.76686197889188, 58.03679160812369, 5.3572999710022495"
" 2014 01 14::10:47:55:523,  299.412274509817, 31488.53569066463, -97.85229690493944, 58.632220454370994, 5.703143646087261"
" 2014 01 14::10:47:56:023, 309.87830826197063, 35064.36834932182, -97.67624318348558, 58.83583845444518, 5.818236372848473"
" 2014 01 14::10:47:56:523, 316.5585422519046, 35717.15372021692, -96.25127941686608, 59.679411601379904,   5.9112689004583"
" 2014 01 14::10:47:57:023, 331.75872510709945, 36406.25569862744, -95.23478922932867, 60.73619925195395, 6.025784074035645"
" 2014 01 14::10:47:57:524, 347.33439682044656, 38816.809867986405, -87.99980045180766, 60.82621432548896, 6.325096342624303"
" 2014 01 14::10:47:58:024,  388.969784131426, 42067.89903193006, -86.84596665539866, 61.26840139600631, 6.760033119784814"
" 2014 01 14::10:47:58:524, 420.6364084787455, 43391.384959503244, -81.00564720011164, 61.50649533387731, 6.817478112199393"
" 2014 01 14::10:47:59:024, 463.1872999596828,  45125.3544020109, -80.77923938505955, 62.252094955723706, 7.007923156761309"
" 2014 01 14::10:47:59:524, 472.85772253744096, 48356.88025634668, -76.89342888083036, 63.13627384307296, 7.115547763858565"
" 2014 01 14::10:48:00:025, 485.2446077269691, 48527.28300308891, -73.97459966325658, 63.42232036385953, 7.567072061332181"
" 2014 01 14::10:48:00:526, 496.94885511893784, 49201.91998354353, -67.37719605788428, 63.724574658323704, 7.945462704556161"
" 2014 01 14::10:48:01:026, 508.1277017396423, 51386.03827464943, -53.039998579992044, 63.795263847807874,  7.97169649697932"
" 2014 01 14::10:48:01:527, 510.6254474029163, 51615.99943199682, -52.465095686623584, 63.84318578222303, 7.988684076101982"
" 2014 01 14::10:48:02:027, 522.6309742765642, 57350.87842315371, -47.00479995885881, 64.03249684738933, 8.290482216351569"
" 2014 01 14::10:48:02:527, 535.9869523466515, 59989.83986530263, -45.31820750772228, 64.10792787945319, 8.373162435348835"
" 2014 01 14::10:48:03:027,  537.165724357568, 61157.37155233214, -44.89220064086672, 64.92935900984543, 8.653023166685415"
" 2014 01 14::10:48:03:527, 544.2555653564599, 62711.69575402382, -36.81338600502724,  65.2745063597926, 8.962651511058016"
" 2014 01 14::10:48:04:028, 544.4844944865073, 62802.25888004466, -32.4784623987581, 65.47197567920438, 9.130322266641599"
" 2014 01 14::10:48:04:528, 581.7117362869346, 65138.386662159464, -29.169747579825128, 65.51506093880444,  9.20519359468923"
" 2014 01 14::10:48:05:029, 602.2473955740504, 65599.92018072306, -21.042024669966025, 8267.902345822184, 9.718072600709249"
" 2014 01 14::10:48:05:530, 639.0826656318644, 68493.91569173147, -15.015639246568597, 67.26765604771589, 10.682549827552613"
" 2014 01 14::10:48:06:030, 656.5467978165593, 68900.51176674644, -13.292884300542298, 67.61459860605834, 10.984831237749127"
" 2014 01 14::10:48:06:530, 657.8618827627006, 69470.49727339423, -11.660920873304548, -8349.862017338315, 11.450311389920543"
" 2014 01 14::10:48:07:030,  691.440169388302, 69540.91876197577, -2.72133922666157, 68.72697276816942, 12.045377029095105"
" 2014 01 14::10:48:07:531, 713.6889839147403, 70306.74479155675, 3.3798769139970375, 70.86708121349928, 12.15178071512315"
" 2014 01 14::10:48:08:031, 719.9747039263812,  75567.4040691746, 5.055733600341384, 71.90686598175344, 12.472709121284831"
" 2014 01 14::10:48:08:531, 740.6005840838195, 76530.30961161209, 11.981037913466452, 72.37194700236982, 13.059311629534076"
" 2014 01 14::10:48:09:032, 742.8115712476615, 79625.30391366595, 26.545490250770648, 72.55936639540717, 13.349858354482812"
" 2014 01 14::10:48:09:532, 752.0022406436404,  79807.9678087793, 36.50610948114826, 73.65081875884472, 13.815652323410099"
" 2014 01 14::10:48:10:032,  809.032307722325, 80196.67242775208, 39.87937067663101, 73.65907816837213, 14.65616142155719"
" 2014 01 14::10:48:10:532,  842.936364239892, 81944.04882794915, 41.27844030317705, 73.89029931748392, 15.191965634951698"
" 2014 01 14::10:48:11:032, 872.0528627948781, 82019.23363814279, 41.33347653528887, 74.43350944192906, 15.254768571162291"
" 2014 01 14::10:48:11:533, 875.6318618716851, 82249.05882291526, 42.83406090132512, 75.03019345129425, 15.428778086988393"
" 2014 01 14::10:48:12:033, 893.1683393345016, 86864.27952154209, 43.029338183255206, 75.94080042466089, 15.447191191403476"

Thread-0::End of file reached...

"Thread-0::Read file complete, bytes read::4320 bytes written: 4320"

"Thread-1::Middle Exiting; bytes read: 4320 bytes written: 4320 2014 01 14::10:48:12:533, 902.0037703638493, 90564.50461476229, 48.52246157357186, 76.16852493247062, 16.233466905152017"
" 2014 01 14::10:48:13:033, 918.1254367236658, 91018.17804526578,  53.6351572916179, 76.27690395041742, 16.83911428425331"
" 2014 01 14::10:48:13:534, 920.8004637244944, 92100.21123800683, 54.10263715993969, 76.43637585776463, 16.869735506115504"
" 2014 01 14::10:48:14:035, 923.9770588642674, 92263.94477089112,   64.374703660465, 76.53446135769127, 17.056299549306488"
" 2014 01 14::10:48:14:535,  962.988399353238,  93041.0038659257, 65.42920539318544, -9545.020069366501, 17.538556778879755"
" 2014 01 14::10:48:15:036, 970.1150760274312, 96407.05584487379, 65.46582360780954, 79.02732073359009, 17.60926609737894"
" 2014 01 14::10:48:15:536, 981.1637577301195,   96883.373056297, 66.46573764575791, 79.19870032082055, 17.638846038624788"
" 2014 01 14::10:48:16:036,   986.61482452151, 98693.45633707513, 74.61814361968729, 79.26891628774912, 19.786719526491602"

Thread-2::Sink Exiting; bytes read: 4320
