
Thread-1::Middle Reading 
Thread-0::Source reading file...

Thread-2::Sink Reading
               Time Stamp,          Velocity,          Altitude,       Temperature,          Pressure,          Attitude
 2014 01 14::10:47:46:516, 40.83836158081344, 420.8997958365823, -173.9101531767623, 50.19281724424118, 0.4027434441530642
 2014 01 14::10:47:47:016, 63.69230921819457, 2240.060326091309, -173.66281629255548, 51.367958612874574, 1.7507341274545007
 2014 01 14::10:47:47:517,  69.7781680407461, 2979.8520667909665, -169.91694766398203, 52.293702847205914, 2.279472024548712
 2014 01 14::10:47:48:017, 84.76892715928852, 5309.749516731798, -167.88966708084936, 53.13970482312747, 2.6310266416800565
 2014 01 14::10:47:48:517, 106.5379219462268, 6824.698434631327, -167.83291107520535, -6558.420747115492, 3.383103852254188
 2014 01 14::10:47:49:018,  130.875378540781, 8303.140126271603, -135.5864882925918, 6582.272951751209, 3.3866950247311345
 2014 01 14::10:47:49:518, 143.25227885368196, 9122.957325341196, -128.8335703852206, 53.587395147406404, 3.435493332538453
 2014 01 14::10:47:50:018, 203.83583780938986, 9908.592468334988, -125.58107041492596, 53.80135398143193, 3.447634689984802
 2014 01 14::10:47:50:519, 223.15691916625468, 10470.195211517042, -124.3022214243484,  53.9912866937875, 3.7643680784608335
 2014 01 14::10:47:51:020, 246.5469441866809, 10586.502655195462, -119.91460463987673, 54.03619582482588, 3.8963751087077614
 2014 01 14::10:47:51:520, 254.36734804070994, 11545.06577705099, -119.21369267547766, 54.278945176640114, 4.316766173907716
 2014 01 14::10:47:52:020, 262.13196055233414, 11673.341298128082, -113.75416334985715,  54.4648411701365, 4.483060689033036
 2014 01 14::10:47:52:521, 285.45606569885575, 12813.53151846114, -109.41923911466068, 54.89897387541354,  4.61173380420502
 2014 01 14::10:47:53:021, 298.69622939228003, 14037.824528686127, -107.61129993945679, 55.032599342708096, 4.969110156310341
 2014 01 14::10:47:53:521, 316.31726592789676, 19963.736313955214, -101.06557074717952, 55.22472670316914, 6.180241003145914
 2014 01 14::10:47:54:021, 322.2851483772923, 20096.227781098685, -99.74102271889996, 55.30809388602065, 6.213852963096689
 2014 01 14::10:47:54:522, 351.2085867862803, 24779.166458048006, -98.20997495585763, 55.52906591611673, 6.327092634824016
 2014 01 14::10:47:55:022, 359.79429535454534, 25518.366954696536, -93.42998950364367, 55.57278245427288, 6.465107209387078
 2014 01 14::10:47:55:523, 371.5397568371067, 28521.573618180286, -92.12189852017895, 55.93827763121229, 6.752168498609712
 2014 01 14::10:47:56:023, 400.36127916744647, 31718.317059687175, -82.68085326130185, 56.04719146178439, 6.7663902211920535
 2014 01 14::10:47:56:523, 409.0231035986461, 32811.96005596265, -81.70416496555964,  56.0478386402663, 6.780105164516748
 2014 01 14::10:47:57:023,  424.688325872185, 33085.16370977709, -73.56946971682908, 56.88547547988642, 8.064940291143706
 2014 01 14::10:47:57:524, 446.39423104366847, 35118.24079408771, -71.81052241975749, -861821.361015054,    8.168591517641
 2014 01 14::10:47:58:024, 450.3240963601657, 37083.05044826318, -62.33876931934799, 57.28465152805118, 8.622531217961916
 2014 01 14::10:47:58:524, 462.62692302940735, 39050.15463311467, -60.56953835694216, 7082.142297610754, 8.624777958929531
 2014 01 14::10:47:59:024, 466.5547193932318, 43239.38231700207, -58.301044159685205, 58.10212647745616,  8.92791531851862
 2014 01 14::10:47:59:524, 477.78444212446203, 44228.370235442504, -57.23474936239944, 58.192418240288205,  9.07154896000395
 2014 01 14::10:48:00:025, 488.7429562040517, 44660.45151609399, -40.32583698072132, 7158.205956125658, 9.236413288546952
 2014 01 14::10:48:00:526, 495.0656471674597, 45007.413407131455, -39.148446877485185, 58.354241259628296, 9.361885611953758
 2014 01 14::10:48:01:026, 495.1360374263838, 45526.10497236862, -38.24140197002927, 59.096979293724594, 10.422895557194556
 2014 01 14::10:48:01:527, 497.2657801889641, 45696.56078801171, -37.81526243092155, 59.645883306560506, 10.759186950356314
 2014 01 14::10:48:02:027, 527.1065521262747, 46059.378750994074, -36.51853351782863, 61.55562447366481, 11.492369752907393
 2014 01 14::10:48:02:527, 535.9681910847004, 46530.33479228853, -35.65112879023498, 62.08392475166469, 11.593448557471985
 2014 01 14::10:48:03:027,  541.943678767451, 53293.89974495978, -34.57092558860626,  63.6251856545067, 12.220689308841592
 2014 01 14::10:48:03:527, 573.1875573921882, 53720.41766387409, -32.09845579250518, 63.661770228332635, 12.338275349172513
 2014 01 14::10:48:04:028, 605.4655863951173, 54627.81534277686, -21.62538658278666, 64.44110788687784, 12.560852212773865
 2014 01 14::10:48:04:528,  651.442877580971,  55335.5077277392, -16.70762612065795, 66.02046548664254, 12.804939485751898
 2014 01 14::10:48:05:029, 653.8304676103766,   59124.208967903, -11.795601985219278, 8353.019829574798, 12.818635830112623
 2014 01 14::10:48:05:530,  684.847725648475, 59827.78788673163, -6.712909274442708, 68.06728438056075, 13.076024572169231
 2014 01 14::10:48:06:030, 719.5539346789741, 63081.66598622386, -6.02990013990663, 68.96451531037795, 13.154638130674801
