2014:14:12:04:11	-114.12483	000205.88974	
2014:14:12:04:11	-112.15595	000694.79440	
2014:14:12:04:11	-111.64801	001765.32242	
2014:14:12:04:12	-111.13241	001990.95435	
2014:14:12:04:12	-110.24864	003114.83968	
2014:14:12:04:12	-109.96556	003354.24310	
2014:14:12:04:12	-107.41778	003438.25355	
2014:14:12:04:13	-104.75765	003984.93142	
2014:14:12:04:13	-101.49395	004181.79426	
2014:14:12:04:13	-101.24813	004274.20387	
2014:14:12:04:13	-099.43021	004707.08035	
2014:14:12:04:14	-098.25253	005060.42131	
2014:14:12:04:14	-093.52630	005189.59994	
2014:14:12:04:14	-093.36643	006267.16540	
2014:14:12:04:14	-092.99585	006500.49377	
2014:14:12:04:15	-090.32407	006628.95429	
2014:14:12:04:15	-090.27194	006906.99949	
2014:14:12:04:15	-089.10333	007167.47179	
2014:14:12:04:15	-087.65629	007207.71850	
2014:14:12:04:16	-087.51116	007387.79653	
2014:14:12:04:16	-086.50632	007874.85814	
2014:14:12:04:16	-086.42935	008279.44319	
2014:14:12:04:16	-085.41023	008308.86499	
2014:14:12:04:17	-085.17425	008995.73796	
2014:14:12:04:17	-085.12897	009195.53361	
2014:14:12:04:17	-084.48895	009279.00147	
2014:14:12:04:17	-082.43373	009835.99789	
2014:14:12:04:18	-080.27399	009996.45289	
2014:14:12:04:18	-080.22134	010007.65182	
2014:14:12:04:18	-078.36369	010667.88670	
2014:14:12:04:18	-076.72916	010822.06837	
2014:14:12:04:19	-076.36618	011301.30971	
2014:14:12:04:19	-074.98421	011351.48637	
2014:14:12:04:19	-073.74027	011505.85164	
2014:14:12:04:19	-069.44933	011565.85202	
2014:14:12:04:20	-069.34211	011857.12593	
2014:14:12:04:20	-069.30180	012061.41903	
2014:14:12:04:20	-068.53807	012860.05904	
2014:14:12:04:20	-068.37802	012925.06345	
2014:14:12:04:21	-068.29705	013552.39395	
2014:14:12:04:21	-067.62879	013987.54011	
2014:14:12:04:21	-064.06883	014150.58468	
2014:14:12:04:21	-063.89394	014657.95196	
2014:14:12:04:22	-063.73206	014819.61924	
2014:14:12:04:22	-060.44342	015252.34514	
2014:14:12:04:22	-060.02930	015634.26878	
2014:14:12:04:22	-053.46817	015658.85392	
2014:14:12:04:23	-053.30668	016018.43206	
2014:14:12:04:23	-052.67792	016409.39138	
2014:14:12:04:23	-051.87022	016661.07298	
2014:14:12:04:23	-051.47451	016747.91515	
2014:14:12:04:24	-050.32768	016925.17043	
2014:14:12:04:24	-048.54621	017063.15864	
2014:14:12:04:24	-046.90773	017098.59932	
2014:14:12:04:24	-046.79571	018538.49650	
2014:14:12:04:25	-045.05541	018629.37833	
2014:14:12:04:25	-043.08362	019351.09917	
2014:14:12:04:25	-042.34696	019386.62505	
2014:14:12:04:25	-040.03505	019425.00446	
2014:14:12:04:26	-039.29211	020206.26865	
2014:14:12:04:26	-037.30930	020352.92518	
2014:14:12:04:26	-034.45076	020370.69451	
2014:14:12:04:26	-034.15456	020405.81844	
2014:14:12:04:27	-030.51542	020573.42690	
2014:14:12:04:27	-029.58453	020582.27329	
2014:14:12:04:27	-028.25729	020605.80264	
2014:14:12:04:27	-027.98389	021547.48652	
2014:14:12:04:28	-027.28050	021820.48077	
2014:14:12:04:28	-027.05186	022123.76482	
2014:14:12:04:28	-024.86811	022203.42523	
2014:14:12:04:28	-024.16556	022562.13646	
2014:14:12:04:29	-021.15709	022969.81399	
2014:14:12:04:29	-021.10606	022981.36882	
2014:14:12:04:29	-020.37492	023455.34188	
2014:14:12:04:29	-017.83687	023906.37760	
2014:14:12:04:30	-017.45654	024046.83658	
2014:14:12:04:30	-016.54613	024056.77286	
2014:14:12:04:30	-013.41628	024108.55954	
2014:14:12:04:30	-013.28222	024332.21504	
2014:14:12:04:31	-011.43866	024349.10659	
2014:14:12:04:31	-009.21928	024569.62828	
2014:14:12:04:31	-008.39873	024601.47834	
2014:14:12:04:31	-008.21534	024919.04350	
2014:14:12:04:32	-007.02845	025175.50409	
2014:14:12:04:32	-005.76149	025186.94574	
2014:14:12:04:32	-005.17614	025773.29125	
2014:14:12:04:32	-004.11294	025854.61851	
2014:14:12:04:33	000.79717	025889.70168	
2014:14:12:04:33	001.38579	026926.91374	
2014:14:12:04:33	002.99585	027185.36620	
2014:14:12:04:33	004.96832	027584.32538	
2014:14:12:04:34	005.38940	027638.27338	
2014:14:12:04:34	006.28644	028354.51953	
2014:14:12:04:34	008.77747	028938.30852	
2014:14:12:04:34	009.16028	029497.44035	
2014:14:12:04:35	010.25116	029559.56542	
2014:14:12:04:35	015.37233	029753.51699	
2014:14:12:04:35	016.40046	029866.66932	
2014:14:12:04:35	021.27850	029978.14068	
2014:14:12:04:36	023.50627	030410.22909	
