2014:14:12:04:13	-6366.580	
2014:14:12:04:13	-6366.580	
2014:14:12:04:13	-6366.580	
2014:14:12:04:14	6526.7706	
2014:14:12:04:14	6526.7706	
2014:14:12:04:14	6526.7706	
2014:14:12:04:14	6526.7706	
2014:14:12:04:19	-7236.232	
2014:14:12:04:19	-7236.232	
2014:14:12:04:20	-7236.232	
2014:14:12:04:20	-7236.232	
2014:14:12:04:20	-7349.847	
2014:14:12:04:20	-7349.847	
2014:14:12:04:21	-7349.847	
2014:14:12:04:21	-7349.847	
2014:14:12:04:21	-7496.484	
2014:14:12:04:21	-7496.484	
2014:14:12:04:22	-7496.484	
2014:14:12:04:22	-7496.484	
2014:14:12:04:23	7672.6780	
2014:14:12:04:23	7672.6780	
2014:14:12:04:23	7672.6780	
2014:14:12:04:23	7672.6780	
2014:14:12:04:23	7731.9573	
2014:14:12:04:23	7731.9573	
2014:14:12:04:23	7731.9573	
2014:14:12:04:23	7731.9573	
2014:14:12:04:25	-8057.290	
2014:14:12:04:25	-8057.290	
2014:14:12:04:25	-8057.290	
2014:14:12:04:25	-8057.290	
2014:14:12:04:28	8825.2396	
2014:14:12:04:28	8825.2396	
2014:14:12:04:28	8825.2396	
2014:14:12:04:28	8825.2396	
2014:14:12:04:29	8971.2906	
2014:14:12:04:29	8971.2906	
2014:14:12:04:30	8971.2906	
2014:14:12:04:30	8971.2906	
2014:14:12:04:32	9255.2481	
2014:14:12:04:32	9255.2481	
2014:14:12:04:32	9255.2481	
2014:14:12:04:32	9255.2481	
2014:14:12:04:33	-9423.754	
2014:14:12:04:33	-9423.754	
2014:14:12:04:33	-9423.754	
2014:14:12:04:33	-9423.754	
