2014:14:12:04:11	-114.12483	000205.88974	50.02075	
2014:14:12:04:11	-112.15595	000694.79440	50.14359	
2014:14:12:04:11	-111.64801	001765.32242	50.31793	
2014:14:12:04:12	-111.13241	001990.95435	50.71190	
2014:14:12:04:12	-110.24864	003114.83968	50.82830	
2014:14:12:04:12	-109.96556	003354.24310	51.23815	
2014:14:12:04:12	-107.41778	003438.25355	51.28196	
2014:14:12:04:13	-104.75765	003984.93142	51.39750	
2014:14:12:04:13	-101.49395	004181.79426	51.56296	
2014:14:12:04:13	-101.24813	004707.08035	51.68162	
2014:14:12:04:13	-101.24813	004707.08035	51.68162	
2014:14:12:04:13	-101.24813	004707.08035	51.68162	
2014:14:12:04:13	-101.24813	004707.08035	51.68162	
2014:14:12:04:14	-099.43021	005060.42131	51.88341	
2014:14:12:04:14	-098.25253	005189.59994	52.14865	
2014:14:12:04:14	-093.36643	006500.49377	52.72670	
2014:14:12:04:14	-093.36643	006500.49377	52.72670	
2014:14:12:04:14	-093.36643	006500.49377	52.72670	
2014:14:12:04:14	-093.36643	006500.49377	52.72670	
2014:14:12:04:14	-093.36643	006500.49377	52.72670	
2014:14:12:04:15	-092.99585	006628.95429	53.40430	
2014:14:12:04:15	-090.32407	006906.99949	53.59414	
2014:14:12:04:15	-090.27194	007167.47179	53.75891	
2014:14:12:04:15	-089.10333	007207.71850	54.05207	
2014:14:12:04:16	-087.65629	007387.79653	54.38494	
2014:14:12:04:16	-087.51116	007874.85814	54.47853	
2014:14:12:04:16	-086.50632	008279.44319	54.92864	
2014:14:12:04:16	-086.42935	008308.86499	54.98360	
2014:14:12:04:17	-085.41023	008995.73796	55.72283	
2014:14:12:04:17	-085.17425	009195.53361	55.95592	
2014:14:12:04:17	-085.12897	009279.00147	56.20029	
2014:14:12:04:17	-084.48895	009835.99789	56.46316	
2014:14:12:04:18	-082.43373	009996.45289	56.67214	
2014:14:12:04:18	-080.27399	010007.65182	57.17712	
2014:14:12:04:18	-080.22134	010667.88670	57.58927	
2014:14:12:04:18	-078.36369	010822.06837	57.77977	
2014:14:12:04:19	-076.72916	011301.30971	57.87549	
2014:14:12:04:19	-076.36618	011351.48637	58.67585	
2014:14:12:04:19	-074.98421	011505.85164	58.80312	
2014:14:12:04:20	-069.44933	011857.12593	58.86358	
2014:14:12:04:20	-069.44933	011857.12593	58.86358	
2014:14:12:04:20	-069.44933	011857.12593	58.86358	
2014:14:12:04:20	-069.44933	011857.12593	58.86358	
2014:14:12:04:20	-069.44933	011857.12593	58.86358	
2014:14:12:04:20	-069.34211	012061.41903	59.18026	
2014:14:12:04:20	-069.30180	012860.05904	59.50269	
2014:14:12:04:21	-068.37802	013552.39395	59.65826	
2014:14:12:04:21	-068.37802	013552.39395	59.65826	
2014:14:12:04:21	-068.37802	013552.39395	59.65826	
2014:14:12:04:21	-068.37802	013552.39395	59.65826	
2014:14:12:04:21	-068.37802	013552.39395	59.65826	
2014:14:12:04:21	-068.29705	013987.54011	59.88974	
2014:14:12:04:21	-067.62879	014150.58468	60.37993	
2014:14:12:04:22	-063.89394	014819.61924	60.86608	
2014:14:12:04:22	-063.89394	014819.61924	60.86608	
2014:14:12:04:22	-063.89394	014819.61924	60.86608	
2014:14:12:04:22	-063.89394	014819.61924	60.86608	
2014:14:12:04:22	-063.89394	014819.61924	60.86608	
2014:14:12:04:22	-063.73206	015252.34514	61.37472	
2014:14:12:04:22	-060.44342	015634.26878	61.65362	
2014:14:12:04:22	-060.02930	015658.85392	62.20168	
2014:14:12:04:23	-053.46817	016018.43206	62.28256	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:23	-051.87022	016747.91515	62.95372	
2014:14:12:04:24	-051.47451	016925.17043	64.36525	
2014:14:12:04:24	-050.32768	017063.15864	64.40056	
2014:14:12:04:24	-048.54621	017098.59932	64.40401	
2014:14:12:04:24	-046.90773	018538.49650	64.60122	
2014:14:12:04:25	-045.05541	019351.09917	65.36849	
2014:14:12:04:25	-045.05541	019351.09917	65.36849	
2014:14:12:04:25	-045.05541	019351.09917	65.36849	
2014:14:12:04:25	-045.05541	019351.09917	65.36849	
2014:14:12:04:25	-045.05541	019351.09917	65.36849	
2014:14:12:04:25	-043.08362	019386.62505	66.69061	
2014:14:12:04:25	-042.34696	019425.00446	66.86700	
2014:14:12:04:26	-040.03505	020206.26865	67.87370	
2014:14:12:04:26	-039.29211	020352.92518	68.33342	
2014:14:12:04:26	-037.30930	020370.69451	68.74116	
2014:14:12:04:26	-034.45076	020405.81844	69.48882	
2014:14:12:04:27	-034.15456	020573.42690	69.66595	
2014:14:12:04:27	-030.51542	020582.27329	69.73458	
2014:14:12:04:27	-029.58453	020605.80264	70.35280	
2014:14:12:04:27	-028.25729	021547.48652	70.88406	
2014:14:12:04:28	-027.98389	021820.48077	71.13435	
2014:14:12:04:28	-027.28050	022123.76482	71.23556	
2014:14:12:04:28	-024.86811	022562.13646	71.75847	
2014:14:12:04:28	-024.86811	022562.13646	71.75847	
2014:14:12:04:28	-024.86811	022562.13646	71.75847	
2014:14:12:04:28	-024.86811	022562.13646	71.75847	
2014:14:12:04:28	-024.86811	022562.13646	71.75847	
2014:14:12:04:29	-024.16556	022969.81399	72.36851	
2014:14:12:04:29	-021.15709	022981.36882	72.43834	
2014:14:12:04:29	-021.10606	023455.34188	72.87315	
2014:14:12:04:30	-017.83687	024046.83658	73.05554	
2014:14:12:04:30	-017.83687	024046.83658	73.05554	
2014:14:12:04:30	-017.83687	024046.83658	73.05554	
2014:14:12:04:30	-017.83687	024046.83658	73.05554	
2014:14:12:04:30	-017.83687	024046.83658	73.05554	
2014:14:12:04:30	-017.45654	024056.77286	73.46608	
2014:14:12:04:30	-016.54613	024108.55954	73.52274	
2014:14:12:04:30	-013.41628	024332.21504	73.72861	
2014:14:12:04:31	-013.28222	024349.10659	74.02909	
